label,bank,rows,concurrency,n,errors,p50_ms,p95_ms,p95_ci_low_ms,p95_ci_high_ms,p99_ms,max_ms,mean_ms,stddev_ms,cv,mean_results,zero_result_calls,contention
"contended read w4 p10",klanker,230123,1,40,0,1344.18,2954.39,2065.65,5704.24,5704.24,5704.24,1678.3,974.63,0.5807,62.7,0,read
"contended read w4 p10",klanker,230123,4,40,0,6540.57,11169.83,9010.82,14496.41,14496.41,14496.41,7213.22,2444.8,0.3389,62.7,0,read
"contended read w4 p10",gymbro,17977,1,40,0,1340.5,4521.58,2902.98,6553.23,6553.23,6553.23,1988.49,1250.59,0.6289,58.25,0,read
"contended read w4 p10",gymbro,17977,4,40,0,4511.94,7516.01,6055.2,8427.92,8427.92,8427.92,5002.94,1280.84,0.256,58.25,0,read
"contended read w4 p10",ziggy,1493,1,40,0,1789.43,7161.42,4048.77,10053.39,10053.39,10053.39,2590.45,2110.95,0.8149,62.85,0,read
"contended read w4 p10",ziggy,1493,4,40,0,6776.57,11906.13,10832.49,13575.37,13575.37,13575.37,7857.63,2521.1,0.3208,62.85,0,read
"contended read w4 p10",lisa-profile,157,1,40,0,1003.84,2527.71,2043.5,4401.64,4401.64,4401.64,1374.6,789.37,0.5743,56.85,0,read
"contended read w4 p10",lisa-profile,157,4,40,0,5789.47,15968.44,9225.38,15973.62,15973.62,15973.62,7089.23,3695.27,0.5213,56.85,0,read
"contended read w4 p10",switchroom-dev,12,1,6,34,1045.18,1728.15,1091.12,1728.15,1728.15,1728.15,1146.29,266.21,0.2322,12,0,read
"contended read w4 p10",switchroom-dev,12,4,0,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,read
