label,bank,rows,concurrency,n,errors,p50_ms,p95_ms,p99_ms,max_ms,mean_ms,stddev_ms,cv,mean_results,zero_result_calls,contention
idle-A post-index-drop,bank-01,228952,1,40,0,950.51,1885.55,5704.29,5704.29,1154.2,770.4,0.6675,62.9,0,off
idle-A post-index-drop,bank-01,228952,4,40,0,3196.25,8967.87,12047.27,12047.27,3953.61,1983.94,0.5018,62.9,0,off
idle-A post-index-drop,bank-01,228952,8,40,0,9796,16486.72,19151.32,19151.32,10353.68,3529.86,0.3409,62.85,0,off
idle-A post-index-drop,bank-01,228952,16,40,0,18177.68,24129.17,24134.31,24134.31,17586.82,4711.14,0.2679,62.85,0,off
idle-A post-index-drop,bank-07,17711,1,40,0,874.82,2558.73,4903.26,4903.26,1116.87,770.44,0.6898,57.6,0,off
idle-A post-index-drop,bank-07,17711,4,40,0,3449.19,5067.27,5417.63,5417.63,3728.05,726.85,0.195,57.6,0,off
idle-A post-index-drop,bank-07,17711,8,40,0,9510.23,15944.26,15996.89,15996.89,9642.35,2774.17,0.2877,57.6,0,off
idle-A post-index-drop,bank-07,17711,16,40,0,19119.62,27049.28,27070.5,27070.5,17714.27,4843.67,0.2734,57.6,0,off
idle-A post-index-drop,bank-10,1493,1,40,0,943.11,4180.7,13450.18,13450.18,1730.5,2324.03,1.343,62.85,0,off
idle-A post-index-drop,bank-10,1493,4,40,0,4459.73,9360.79,10066.12,10066.12,4824.68,1852.04,0.3839,62.85,0,off
idle-A post-index-drop,bank-10,1493,8,40,0,10349,10973.68,14016.34,14016.34,9482.62,1702.33,0.1795,62.85,0,off
idle-A post-index-drop,bank-10,1493,16,40,0,17513.14,23815.06,24767,24767,17318.05,4405.03,0.2544,62.85,0,off
idle-A post-index-drop,bank-12,157,1,40,0,805.88,2394.45,6142.08,6142.08,1183.64,1005.73,0.8497,56.85,0,off
idle-A post-index-drop,bank-12,157,4,40,0,7947.82,15581.93,20650.26,20650.26,8575.42,4167.07,0.4859,56.85,0,off
idle-A post-index-drop,bank-12,157,8,40,0,10412.49,20200.17,22933.32,22933.32,11619.37,4477.87,0.3854,56.85,0,off
idle-A post-index-drop,bank-12,157,16,40,0,15947.66,22383.42,22384.38,22384.38,16208.16,3627.6,0.2238,56.85,0,off
idle-A post-index-drop,bank-14,12,1,40,0,764.56,2562.01,8744.04,8744.04,1348.04,1695.87,1.258,12,0,off
idle-A post-index-drop,bank-14,12,4,40,0,4206.93,10823.51,10918.41,10918.41,5404,2501.4,0.4629,12,0,off
idle-A post-index-drop,bank-14,12,8,40,0,7662.62,13156.65,13678.06,13678.06,8304.4,2827.26,0.3405,12,0,off
idle-A post-index-drop,bank-14,12,16,40,0,15096.42,21801.3,23020.67,23020.67,14963.34,3769.7,0.2519,12,0,off
