label,bank,rows,concurrency,n,errors,p50_ms,p95_ms,p99_ms,max_ms,mean_ms,stddev_ms,cv,mean_results,zero_result_calls,contention
"idle-B post-index-drop",klanker,229326,1,40,0,1024.65,2635.91,6375.41,6375.41,1327.22,966.58,0.7283,62.75,0,off
"idle-B post-index-drop",klanker,229326,4,40,0,5108.79,12747.59,13198.17,13198.17,6290.55,3055.05,0.4857,62.75,0,off
"idle-B post-index-drop",klanker,229326,8,40,0,8709.52,14921.04,15923.63,15923.63,9239.51,2733.54,0.2959,62.75,0,off
"idle-B post-index-drop",klanker,229326,16,40,0,14453.92,17469.79,17470.48,17470.48,14287.1,2467.92,0.1727,62.75,0,off
"idle-B post-index-drop",gymbro,17782,1,40,0,832.18,1113.47,2133.98,2133.98,879.36,215.12,0.2446,57.7,0,off
"idle-B post-index-drop",gymbro,17782,4,40,0,5153.76,9255.59,9256.23,9256.23,5825.61,1942.74,0.3335,57.65,0,off
"idle-B post-index-drop",gymbro,17782,8,40,0,12239.49,14895.78,16008.63,16008.63,11111.6,3078.36,0.277,57.63,0,off
"idle-B post-index-drop",gymbro,17782,16,40,0,17763.76,21759.65,21760.21,21760.21,16616.53,3829.85,0.2305,57.75,0,off
"idle-B post-index-drop",ziggy,1493,1,40,0,1215.37,4703.93,9019.03,9019.03,1775.29,1805.58,1.0171,62.85,0,off
"idle-B post-index-drop",ziggy,1493,4,40,0,5074.84,10950.09,11044.86,11044.86,6145.04,2587.32,0.421,62.85,0,off
"idle-B post-index-drop",ziggy,1493,8,40,0,7968.45,11273.63,14625.17,14625.17,8750.43,2151.89,0.2459,62.85,0,off
"idle-B post-index-drop",ziggy,1493,16,40,0,15060.16,16635.81,18906.79,18906.79,13407.48,2992.03,0.2232,62.85,0,off
"idle-B post-index-drop",lisa-profile,157,1,40,0,1051.4,2129.94,9407.68,9407.68,1397.36,1611.41,1.1532,56.85,0,off
"idle-B post-index-drop",lisa-profile,157,4,40,0,3890.49,10061.11,11588.02,11588.02,5499.32,2595.14,0.4719,56.85,0,off
"idle-B post-index-drop",lisa-profile,157,8,40,0,8731.65,12237.11,12240.31,12240.31,8864.71,1996.76,0.2252,56.85,0,off
"idle-B post-index-drop",lisa-profile,157,16,40,0,12145.99,15456.3,15470.31,15470.31,12018.11,2083.85,0.1734,56.85,0,off
"idle-B post-index-drop",switchroom-dev,12,1,40,0,1060.86,1441.13,4082.6,4082.6,1122.36,563.6,0.5022,12,0,off
"idle-B post-index-drop",switchroom-dev,12,4,40,0,3785.38,5377.12,5381.94,5381.94,3801.48,796.49,0.2095,12,0,off
"idle-B post-index-drop",switchroom-dev,12,8,40,0,8462.34,11582.08,13460.44,13460.44,9127.66,2070.55,0.2268,12,0,off
"idle-B post-index-drop",switchroom-dev,12,16,40,0,11388.84,14071.22,15266.55,15266.55,11634.92,1884.67,0.162,12,0,off
