label,bank,rows,concurrency,n,errors,p50_ms,p95_ms,p95_ci_low_ms,p95_ci_high_ms,p99_ms,max_ms,mean_ms,stddev_ms,cv,mean_results,zero_result_calls,contention
"P2 contention read w4 (AC2 window)",bank-01,232541,8,40,0,12589.9,16895.61,15606.99,17982.36,17982.36,17982.36,12494.21,2918.33,0.2336,62.3,0,read
"P2 contention read w4 (AC2 window)",bank-01,232541,16,40,0,21125.39,27518.36,27504.58,27527.89,27527.89,27527.89,20801.39,5210.23,0.2505,62.4,0,read
"P2 contention read w4 (AC2 window)",bank-07,18145,8,40,0,12076.9,18661.25,17549.75,20294.88,20294.88,20294.88,13497.26,3546.82,0.2628,58.1,0,read
"P2 contention read w4 (AC2 window)",bank-07,18145,16,40,0,22117.78,25340.66,24098.35,25348.88,25348.88,25348.88,20644.01,4585.23,0.2221,58.1,0,read
"P2 contention read w4 (AC2 window)",bank-10,1525,8,40,0,9979.17,15360.74,15354.44,16429.94,16429.94,16429.94,10398.62,3357.09,0.3228,63.2,0,read
"P2 contention read w4 (AC2 window)",bank-10,1525,16,40,0,16553.72,18834.14,18347.91,21941.07,21941.07,21941.07,15474.73,3121.12,0.2017,63.2,0,read
"P2 contention read w4 (AC2 window)",bank-12,157,8,40,0,11927.49,12931.76,12922.62,13833.63,13833.63,13833.63,10511.27,2485.41,0.2365,56.9,0,read
"P2 contention read w4 (AC2 window)",bank-12,157,16,40,0,14405.63,16575.76,15845.89,16966.51,16966.51,16966.51,14372.09,1495.74,0.1041,56.9,0,read
"P2 contention read w4 (AC2 window)",bank-14,12,8,40,0,8568.3,13884.75,11717.1,13890.03,13890.03,13890.03,9022.96,2604.11,0.2886,12,0,read
"P2 contention read w4 (AC2 window)",bank-14,12,16,40,0,14365.59,18467.47,17347.55,18602.25,18602.25,18602.25,14890.64,2902.32,0.1949,12,0,read
